id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
20083,Unique in Södermalm SOFO Stockholm,75962,Lovisa,,Södermalms,59.30833,18.08615,Entire home/apt,1043,4,12,2014-06-14,0.09,1,364
75590,Amazing nature location by a lake,397766,Peter,,Skarpnäcks,59.30117,18.12833,Entire home/apt,949,30,10,2015-07-11,0.16,1,139
155220,"Stockholm, new spacoius villa",746396,Madeleine,,Skarpnäcks,59.24615,18.1787,Entire home/apt,1200,3,0,,,2,48
164448,Double room in central Stockholm with Wi-Fi,784312,Li,,Södermalms,59.31389,18.06087,Private room,643,3,313,2019-07-11,2.64,2,166
170651,Petit Charm Rooftop next to heaven,814021,Marie,,Södermalms,59.31702,18.02946,Entire home/apt,634,4,34,2012-08-04,0.56,1,296
206221,Doubleroom at Södermalm &trendySofo,1022374,Elisabeth,,Södermalms,59.31074,18.08128,Shared room,669,3,79,2018-07-04,0.90,1,322
208366,Central apt. in Sofo .Perfect 4 Families & Kids,993889,Bartholomew Lion,,Södermalms,59.30876,18.08218,Entire home/apt,1021,3,36,2017-09-25,0.36,1,298
220851,One room in appartement,412283,Fredric,,Kungsholmens,59.33351,18.03693,Private room,500,3,48,2017-09-08,0.68,1,353
238411,Cozy apartment in central Stockholm,1250232,Mia,,Norrmalms,59.33872,18.05131,Entire home/apt,1043,1,112,2016-12-13,0.99,1,78
242188,Single room in central Stockholm with Wi-Fi,784312,Li,,Södermalms,59.31198,18.06076,Private room,571,2,310,2020-02-07,2.86,2,165
273906,Penthouse in central Stockholm,1432722,Rodrigo,,Södermalms,59.30543,18.10771,Entire home/apt,1740,6,8,2016-09-12,0.07,1,233
278311,Entire apt (some weeks this summer),1452838,Linnéa,,Farsta,59.24655,18.08539,Entire home/apt,450,2,53,2015-07-29,0.48,1,255
283446,Comfort Stay @ Kista - Super Value!,1476562,Vidhatri,,Rinkeby-Tensta,59.41407,17.91337,Private room,360,2,104,2017-10-08,0.97,2,18
299154,Cosy apartment central at Sodermalm,1541953,Daniel,,Södermalms,59.31846,18.07042,Entire home/apt,684,2,534,2019-08-09,6.04,1,169
301680,one cosy double room for rent,1554143,Anitta,,Älvsjö,59.27635,17.99165,Private room,750,1,35,2018-07-16,0.47,2,365
302496,"Spacious, bright, unique apartment",1557657,Seta,,Norrmalms,59.34685,18.06056,Entire home/apt,3000,5,67,2020-10-31,1.21,1,348
313195,"Design, style & vintage by Odenplan",956221,David,,Norrmalms,59.34737,18.04984,Entire home/apt,1026,3,45,2017-08-13,0.74,1,137
313763,Excellent location in the city center,1533849,Martin P.,,Norrmalms,59.34283,18.0493,Private room,430,3,51,2019-08-30,0.66,1,0
331631,Experience Stockholm & its Nature,546525,Tina,,Skärholmens,59.28872,17.91608,Entire home/apt,950,60,1,2012-09-06,0.01,1,318
368952,Small house,746396,Madeleine,,Skarpnäcks,59.24656,18.17775,Entire home/apt,360,1,19,2013-06-09,0.18,2,138
385701,"Terrace house in Stockholm, Farsta",1930434,Alex,,Farsta,59.25094,18.09676,Entire home/apt,790,7,7,2017-08-02,0.10,2,13
